<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EURUSD,5,20200224,124000,1.08216,1.08244,1.08211,1.08232,0,0
EURUSD,5,20200224,124500,1.0823,1.08235,1.08196,1.08212,0,0
EURUSD,5,20200224,125000,1.08212,1.08231,1.0821,1.08226,0,0
EURUSD,5,20200224,125500,1.08227,1.08247,1.08202,1.08205,0,0
EURUSD,5,20200224,130000,1.08209,1.08209,1.08169,1.082,0,0
EURUSD,5,20200224,130500,1.08199,1.08214,1.08192,1.08194,0,0
EURUSD,5,20200224,131000,1.08196,1.08225,1.08194,1.08225,0,0
EURUSD,5,20200224,131500,1.08225,1.08238,1.08213,1.08236,0,0
EURUSD,5,20200224,132000,1.08236,1.08245,1.08223,1.08244,0,0
EURUSD,5,20200224,132500,1.0824,1.08283,1.08227,1.08275,0,0
EURUSD,5,20200224,133000,1.08276,1.08276,1.08218,1.08221,0,0
EURUSD,5,20200224,133500,1.08225,1.08233,1.0821,1.08215,0,0
EURUSD,5,20200224,134000,1.08215,1.08227,1.08204,1.08221,0,0
EURUSD,5,20200224,134500,1.08221,1.08221,1.08199,1.08213,0,0
EURUSD,5,20200224,135000,1.08213,1.08228,1.08203,1.08213,0,0
EURUSD,5,20200224,135500,1.08215,1.08223,1.08168,1.08178,0,0
EURUSD,5,20200224,140000,1.08189,1.08213,1.08185,1.08207,0,0
EURUSD,5,20200224,140500,1.08208,1.08214,1.08186,1.08198,0,0
EURUSD,5,20200224,141000,1.08197,1.08197,1.08149,1.08183,0,0
EURUSD,5,20200224,141500,1.08186,1.08203,1.08181,1.08203,0,0
EURUSD,5,20200224,142000,1.082,1.08208,1.08188,1.08201,0,0
EURUSD,5,20200224,142500,1.08203,1.08223,1.08197,1.08214,0,0
EURUSD,5,20200224,143000,1.08213,1.08214,1.08193,1.08198,0,0
EURUSD,5,20200224,143500,1.08193,1.08194,1.08179,1.08182,0,0
EURUSD,5,20200224,144000,1.08183,1.08185,1.08158,1.08163,0,0
EURUSD,5,20200224,144500,1.08161,1.08163,1.0815,1.08162,0,0
EURUSD,5,20200224,145000,1.08158,1.08161,1.08151,1.08159,0,0
EURUSD,5,20200224,145500,1.08161,1.08161,1.08135,1.08147,0,0
EURUSD,5,20200224,150000,1.08148,1.08179,1.08142,1.08177,0,0
EURUSD,5,20200224,150500,1.08179,1.08227,1.08179,1.08204,0,0
EURUSD,5,20200224,151000,1.08208,1.08247,1.08208,1.08227,0,0
EURUSD,5,20200224,151500,1.08224,1.08277,1.08218,1.08258,0,0
EURUSD,5,20200224,152000,1.08261,1.08313,1.08256,1.08303,0,0
EURUSD,5,20200224,152500,1.08318,1.08371,1.08303,1.08333,0,0
EURUSD,5,20200224,153000,1.08338,1.08353,1.08276,1.08307,0,0
EURUSD,5,20200224,153500,1.08309,1.08329,1.08292,1.08307,0,0
EURUSD,5,20200224,154000,1.083,1.08384,1.083,1.08356,0,0
EURUSD,5,20200224,154500,1.08359,1.08408,1.08359,1.08408,0,0
EURUSD,5,20200224,155000,1.08407,1.08527,1.084,1.08524,0,0
EURUSD,5,20200224,155500,1.08513,1.08517,1.08476,1.08491,0,0
EURUSD,5,20200224,160000,1.08499,1.0854,1.08464,1.0853,0,0
EURUSD,5,20200224,160500,1.0853,1.08584,1.08529,1.08568,0,0
EURUSD,5,20200224,161000,1.08574,1.08578,1.08521,1.08531,0,0
EURUSD,5,20200224,161500,1.08531,1.0856,1.0852,1.08533,0,0
EURUSD,5,20200224,162000,1.08531,1.08563,1.08513,1.08558,0,0
EURUSD,5,20200224,162500,1.08552,1.08578,1.0853,1.08578,0,0
EURUSD,5,20200224,163000,1.08578,1.08598,1.08552,1.08556,0,0
EURUSD,5,20200224,163500,1.08554,1.08582,1.0853,1.08547,0,0
EURUSD,5,20200224,164000,1.08547,1.08563,1.08504,1.08517,0,0
EURUSD,5,20200224,164500,1.08517,1.08564,1.08517,1.08564,0,0
EURUSD,5,20200224,165000,1.08573,1.08577,1.08505,1.08577,0,0
EURUSD,5,20200224,165500,1.08577,1.08603,1.08536,1.08552,0,0
EURUSD,5,20200224,170000,1.08561,1.08629,1.08552,1.08592,0,0
EURUSD,5,20200224,170500,1.08586,1.08586,1.08524,1.08524,0,0
EURUSD,5,20200224,171000,1.08533,1.08549,1.08462,1.08488,0,0
EURUSD,5,20200224,171500,1.08497,1.08539,1.08495,1.08539,0,0
EURUSD,5,20200224,172000,1.0854,1.08574,1.08534,1.08574,0,0
EURUSD,5,20200224,172500,1.08579,1.08606,1.08567,1.08606,0,0
EURUSD,5,20200224,173000,1.08602,1.08628,1.086,1.08617,0,0
EURUSD,5,20200224,173500,1.08617,1.08626,1.0858,1.08584,0,0
EURUSD,5,20200224,174000,1.08584,1.08596,1.08548,1.08593,0,0
EURUSD,5,20200224,174500,1.08589,1.08597,1.08536,1.08539,0,0
EURUSD,5,20200224,175000,1.08536,1.08552,1.08525,1.08542,0,0
EURUSD,5,20200224,175500,1.08542,1.08566,1.08542,1.08552,0,0
EURUSD,5,20200224,180000,1.08562,1.08595,1.08534,1.08581,0,0
EURUSD,5,20200224,180500,1.0858,1.08609,1.08573,1.08581,0,0
EURUSD,5,20200224,181000,1.08584,1.08633,1.08583,1.08628,0,0
EURUSD,5,20200224,181500,1.08623,1.08638,1.08597,1.08597,0,0
EURUSD,5,20200224,182000,1.08596,1.08634,1.08596,1.08624,0,0
EURUSD,5,20200224,182500,1.08624,1.08679,1.08619,1.08619,0,0
EURUSD,5,20200224,183000,1.08619,1.08666,1.08603,1.08649,0,0
EURUSD,5,20200224,183500,1.0865,1.0865,1.08631,1.08638,0,0
EURUSD,5,20200224,184000,1.08638,1.08655,1.08634,1.08641,0,0
EURUSD,5,20200224,184500,1.08641,1.08685,1.08634,1.08685,0,0
EURUSD,5,20200224,185000,1.0868,1.08715,1.0868,1.08697,0,0
EURUSD,5,20200224,185500,1.08697,1.08718,1.08697,1.0871,0,0
EURUSD,5,20200224,190000,1.08709,1.08717,1.08688,1.08699,0,0
EURUSD,5,20200224,190500,1.08698,1.08719,1.08698,1.08702,0,0
EURUSD,5,20200224,191000,1.08703,1.08712,1.08702,1.08707,0,0
EURUSD,5,20200224,191500,1.08707,1.08713,1.08702,1.08703,0,0
EURUSD,5,20200224,192000,1.08704,1.08704,1.08679,1.08682,0,0
EURUSD,5,20200224,192500,1.08676,1.08691,1.08674,1.08683,0,0
EURUSD,5,20200224,193000,1.08682,1.08686,1.08666,1.08666,0,0
EURUSD,5,20200224,193500,1.08667,1.08674,1.08656,1.08658,0,0
EURUSD,5,20200224,194000,1.08657,1.08677,1.08647,1.08647,0,0
EURUSD,5,20200224,194500,1.08647,1.08652,1.08636,1.08644,0,0
EURUSD,5,20200224,195000,1.08645,1.08645,1.08613,1.08615,0,0
EURUSD,5,20200224,195500,1.08615,1.08646,1.08615,1.0864,0,0
EURUSD,5,20200224,200000,1.08641,1.08641,1.08626,1.08626,0,0
EURUSD,5,20200224,200500,1.08624,1.08625,1.08589,1.08589,0,0
EURUSD,5,20200224,201000,1.08585,1.086,1.08574,1.08595,0,0
EURUSD,5,20200224,201500,1.08595,1.08615,1.08584,1.08606,0,0
EURUSD,5,20200224,202000,1.08605,1.08605,1.08552,1.08559,0,0
EURUSD,5,20200224,202500,1.08557,1.08557,1.08524,1.08539,0,0
EURUSD,5,20200224,203000,1.08546,1.08547,1.08504,1.08513,0,0
EURUSD,5,20200224,203500,1.08513,1.08525,1.08469,1.08479,0,0
EURUSD,5,20200224,204000,1.08478,1.08493,1.08474,1.08485,0,0
EURUSD,5,20200224,204500,1.08488,1.08489,1.08428,1.0847,0,0
EURUSD,5,20200224,205000,1.08472,1.08489,1.08464,1.08464,0,0
EURUSD,5,20200224,205500,1.08463,1.0849,1.08424,1.08427,0,0
EURUSD,5,20200224,210000,1.08429,1.0847,1.08418,1.08464,0,0
EURUSD,5,20200224,210500,1.08464,1.08477,1.08454,1.08465,0,0
EURUSD,5,20200224,211000,1.08469,1.08481,1.0846,1.08476,0,0
EURUSD,5,20200224,211500,1.08476,1.085,1.08476,1.08484,0,0
EURUSD,5,20200224,212000,1.08485,1.08494,1.08474,1.08493,0,0
EURUSD,5,20200224,212500,1.08493,1.08498,1.08485,1.08491,0,0
EURUSD,5,20200224,213000,1.08489,1.08503,1.08483,1.08497,0,0
EURUSD,5,20200224,213500,1.08497,1.08522,1.08497,1.0852,0,0
EURUSD,5,20200224,214000,1.0852,1.08558,1.08512,1.08549,0,0
EURUSD,5,20200224,214500,1.08547,1.08552,1.08537,1.0855,0,0
EURUSD,5,20200224,215000,1.08551,1.08571,1.08543,1.08551,0,0
EURUSD,5,20200224,215500,1.08549,1.08555,1.08523,1.08524,0,0
EURUSD,5,20200224,220000,1.08526,1.0853,1.08513,1.08513,0,0
EURUSD,5,20200224,220500,1.08517,1.0854,1.08517,1.08536,0,0
EURUSD,5,20200224,221000,1.08536,1.08555,1.08534,1.08554,0,0
EURUSD,5,20200224,221500,1.08554,1.08556,1.08523,1.08528,0,0
EURUSD,5,20200224,222000,1.08528,1.08555,1.08528,1.08549,0,0
EURUSD,5,20200224,222500,1.08549,1.08551,1.08527,1.08527,0,0
EURUSD,5,20200224,223000,1.08535,1.08538,1.08525,1.08529,0,0
EURUSD,5,20200224,223500,1.08529,1.08529,1.08504,1.08507,0,0
EURUSD,5,20200224,224000,1.08513,1.0853,1.0851,1.08525,0,0
EURUSD,5,20200224,224500,1.08525,1.08529,1.08515,1.08517,0,0
EURUSD,5,20200224,225000,1.08518,1.08525,1.08514,1.08525,0,0
EURUSD,5,20200224,225500,1.08525,1.08546,1.08525,1.08529,0,0
EURUSD,5,20200224,230000,1.08532,1.08535,1.08525,1.08526,0,0
EURUSD,5,20200224,230500,1.08526,1.08531,1.08523,1.08528,0,0
EURUSD,5,20200224,231000,1.08531,1.08533,1.08527,1.08533,0,0
EURUSD,5,20200224,231500,1.08526,1.08545,1.08518,1.08529,0,0
EURUSD,5,20200224,232000,1.08529,1.08557,1.08521,1.0855,0,0
EURUSD,5,20200224,232500,1.0855,1.0856,1.08522,1.0855,0,0
EURUSD,5,20200224,233000,1.08551,1.0856,1.08512,1.08553,0,0
EURUSD,5,20200224,233500,1.08553,1.08562,1.08521,1.08547,0,0
EURUSD,5,20200224,234000,1.08547,1.08555,1.08491,1.0855,0,0
EURUSD,5,20200224,234500,1.0855,1.08556,1.08537,1.08556,0,0
EURUSD,5,20200224,235000,1.08557,1.08559,1.08533,1.08536,0,0
EURUSD,5,20200224,235500,1.08536,1.08561,1.08513,1.08519,0,0
EURUSD,5,20200225,000000,1.08521,1.08542,1.08521,1.08531,0,0
EURUSD,5,20200225,000500,1.0853,1.08531,1.08522,1.08525,0,0
EURUSD,5,20200225,001000,1.08523,1.08525,1.08497,1.08501,0,0
EURUSD,5,20200225,001500,1.08502,1.08505,1.08494,1.08504,0,0
EURUSD,5,20200225,002000,1.08502,1.08516,1.08501,1.08513,0,0
EURUSD,5,20200225,002500,1.08514,1.08515,1.08507,1.08507,0,0
EURUSD,5,20200225,003000,1.08502,1.08524,1.08502,1.08524,0,0
EURUSD,5,20200225,003500,1.08526,1.08534,1.08526,1.0853,0,0
EURUSD,5,20200225,004000,1.0853,1.08537,1.08521,1.08524,0,0
EURUSD,5,20200225,004500,1.08524,1.08526,1.08505,1.08506,0,0
EURUSD,5,20200225,005000,1.08505,1.08509,1.085,1.08501,0,0
EURUSD,5,20200225,005500,1.08502,1.08502,1.08486,1.08489,0,0
EURUSD,5,20200225,010000,1.08488,1.08513,1.08485,1.08507,0,0
EURUSD,5,20200225,010500,1.08504,1.08515,1.08502,1.08515,0,0
EURUSD,5,20200225,011000,1.08515,1.08523,1.08506,1.08521,0,0
EURUSD,5,20200225,011500,1.08518,1.08528,1.08515,1.08527,0,0
EURUSD,5,20200225,012000,1.08527,1.0853,1.08521,1.08526,0,0
EURUSD,5,20200225,012500,1.08525,1.08525,1.08514,1.08519,0,0
EURUSD,5,20200225,013000,1.08519,1.08527,1.08516,1.08516,0,0
EURUSD,5,20200225,013500,1.08516,1.0852,1.08511,1.08515,0,0
EURUSD,5,20200225,014000,1.08516,1.08524,1.08513,1.08522,0,0
EURUSD,5,20200225,014500,1.08516,1.08529,1.08516,1.08521,0,0
EURUSD,5,20200225,015000,1.08521,1.08526,1.08512,1.08512,0,0
EURUSD,5,20200225,015500,1.08512,1.08518,1.0851,1.08518,0,0
EURUSD,5,20200225,020000,1.08518,1.08522,1.08501,1.08501,0,0
EURUSD,5,20200225,020500,1.08505,1.0851,1.08492,1.08496,0,0
EURUSD,5,20200225,021000,1.08495,1.08495,1.08452,1.08486,0,0
EURUSD,5,20200225,021500,1.08486,1.08494,1.0848,1.08489,0,0
EURUSD,5,20200225,022000,1.08488,1.08558,1.08481,1.08557,0,0
EURUSD,5,20200225,022500,1.0856,1.08578,1.08557,1.08565,0,0
EURUSD,5,20200225,023000,1.08564,1.0859,1.08564,1.08577,0,0
EURUSD,5,20200225,023500,1.08576,1.08592,1.08565,1.08581,0,0
EURUSD,5,20200225,024000,1.08581,1.08597,1.08576,1.08576,0,0
EURUSD,5,20200225,024500,1.08576,1.08583,1.08567,1.08572,0,0
EURUSD,5,20200225,025000,1.08578,1.08586,1.08572,1.08579,0,0
EURUSD,5,20200225,025500,1.08578,1.08598,1.08578,1.08585,0,0
EURUSD,5,20200225,030000,1.08585,1.08617,1.08584,1.08613,0,0
EURUSD,5,20200225,030500,1.08613,1.08632,1.08609,1.08617,0,0
EURUSD,5,20200225,031000,1.08616,1.08616,1.08594,1.08605,0,0
EURUSD,5,20200225,031500,1.08606,1.08609,1.08596,1.08606,0,0
EURUSD,5,20200225,032000,1.08608,1.08615,1.08598,1.08604,0,0
EURUSD,5,20200225,032500,1.08604,1.08604,1.08586,1.08594,0,0
EURUSD,5,20200225,033000,1.08594,1.08609,1.08594,1.08606,0,0
EURUSD,5,20200225,033500,1.08608,1.08616,1.08605,1.08616,0,0
EURUSD,5,20200225,034000,1.08614,1.08615,1.086,1.08609,0,0
EURUSD,5,20200225,034500,1.08609,1.08616,1.08601,1.08603,0,0
EURUSD,5,20200225,035000,1.08603,1.08606,1.08598,1.08603,0,0
EURUSD,5,20200225,035500,1.08603,1.08645,1.08598,1.08637,0,0
EURUSD,5,20200225,040000,1.08636,1.08636,1.08629,1.08633,0,0
EURUSD,5,20200225,040500,1.08634,1.08643,1.08633,1.08636,0,0
EURUSD,5,20200225,041000,1.08633,1.08648,1.08633,1.08636,0,0
